,huc12,i,j,wght
431,020401040501,79,25,0.07577993680281421
432,020401040501,78,25,0.007623058304791468
433,020401040501,79,24,0.1426369504585127
434,020401040501,78,24,0.06238057673984832
435,020402060507,22,41,0.012440973071440615
436,020402060507,21,41,0.055303823927779584
437,020402060507,20,41,0.006993336159692845
438,020402060507,22,40,0.027998446851334517
439,020402060507,21,40,0.1158939430995929
440,020402060507,18,40,0.0042058874559775935
441,020402060507,20,40,0.09817809282949941
442,020402060507,19,40,0.07147398406281624
443,020402060507,21,39,0.02706651978286933
444,020402060507,20,39,0.11156571475897535
445,020402060507,19,39,0.12979507252947203
446,020402060507,21,38,0.010357589556045545
447,020402060507,20,38,0.08195634296858449
448,020402060507,19,38,0.05369451122279027
449,020402060507,18,39,0.12369039904829038
450,020402060507,17,39,0.029014539753064124
451,020402060507,18,38,0.03442150059856056
452,020402060507,17,38,0.005949322323212002
453,020402010403,45,37,0.12936611353517435
454,020402010403,44,37,0.22115016444565336
455,020402010403,43,37,0.08388411585383243
456,020402010403,45,36,0.277815311262887
457,020402010403,44,36,0.2743301656301488
458,020402010403,45,35,0.012988955517866076
459,020402010403,44,35,0.00046517375443852103
460,020402020608,29,32,0.003554465902532578
461,020402020608,28,32,0.06477173612654527
462,020402020608,29,31,0.038470598648943546
463,020402020608,28,31,0.07961749051856316
464,020402020608,29,30,0.0594735732426108
465,020402020608,28,30,0.06411564406159766
466,020402020608,28,29,0.02637287887610257
467,020402020608,30,29,0.01037911423952503
468,020402020608,29,29,0.09618246295284816
469,020402020608,30,28,0.06501910695522652
470,020402020608,29,28,0.08677601954819528
471,020402020608,31,27,0.02978128048682977
472,020402020608,30,27,0.07020267808432663
473,020402020608,28,27,7.502375229464564e-05
474,020402020608,29,27,0.04556078677116692
475,020402020608,32,26,0.023236481544560636
476,020402020608,31,26,0.09500552516488936
477,020402020608,30,26,0.0012565069491174163
478,020402020608,32,25,0.03542300758438914
479,020402020608,31,25,0.09269194679274945
480,020402020608,30,25,3.613158832338468e-05
481,020402020608,31,24,0.011997540208663376
482,020401010503,88,25,0.00011353265787196208
483,020401010503,87,25,0.0010262335497182799
484,020401010503,86,25,0.08509328290086826
485,020401010503,85,25,0.0579864250026156
486,020401010503,88,24,0.08518496703707158
